Year;Movie;Director_OMDb;Genre;Runtime_min;Rated;IMDb_Rating;IMDb_Votes;Metascore;Rotten_Tomatoes;total_awards;Oscars - Best Picture;BAFTA - Best film;Golden Globes - Best movie;PGA - Best Picutre;Oscars - Best Director;BAFTA - Best Director;Golden Globes - Best Director;Oscars - Best Screenplay;BAFTA - Best Screenplay;Golden Globes - Best Screenplay;Oscars - Best Montage;BAFTA - Best Montage;Oscars - Best Cinematography;BAFTA - Best Cinematography
2021;Promising Young Woman;Emerald Fennell;Crime, Drama, Mystery;113.0;R;7,5;255773.0;72.0;90.0;2;0;0.0;0.0;0.0;0;0;0;1;1;0;0.0;0;0;0
2021;Judas and the Black Messiah;Shaka King;Biography, Crime, Drama;126.0;R;7,4;115285.0;84.0;96.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2021;The Father;Florian Zeller;Drama, Mystery;97.0;PG-13;8,2;245319.0;88.0;98.0;2;0;0.0;0.0;0.0;0;0;0;1;1;0;0.0;0;0;0
2021;Minari;Lee Isaac Chung;Drama;115.0;PG-13;7,4;126059.0;89.0;87.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2020;1917;Sam Mendes;Action, Drama, War;119.0;TV-MA;8,2;771791.0;78.0;88.0;7;0;1.0;1.0;1.0;0;1;1;0;0;0;0.0;0;1;1
2020;Jojo Rabbit;Taika Waititi;Comedy, Drama, War;108.0;PG-13;7,9;488442.0;58.0;81.0;2;0;0.0;0.0;0.0;0;0;0;1;1;0;0.0;0;0;0
2020;Parasite;Bong Joon Ho;Comedy, Drama, Thriller;132.0;TV-MA;8,5;1164624.0;97.0;99.0;4;1;0.0;0.0;0.0;1;0;0;1;1;0;0.0;0;0;0
2020;Ford v Ferrari;James Mangold;Action, Biography, Drama;152.0;PG-13;8,1;572005.0;81.0;77.0;2;0;0.0;0.0;0.0;0;0;0;0;0;0;1.0;1;0;0
2020;The Irishman;Martin Scorsese;Biography, Crime, Drama;209.0;R;7,8;472931.0;94.0;95.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2020;Joker;Todd Phillips;Crime, Drama, Thriller;122.0;R;8,3;1694585.0;59.0;68.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2020;Little Women;Greta Gerwig;Drama, Romance;135.0;PG;7,8;284307.0;91.0;85.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2020;Marriage Story;Noah Baumbach;Comedy, Drama, Romance;137.0;R;7,9;372060.0;94.0;88.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2020;Once Upon a Time in Hollywood;Quentin Tarantino;Comedy, Drama;161.0;R;7,6;962553.0;84.0;85.0;2;0;0.0;1.0;0.0;0;0;0;0;0;1;0.0;0;0;0
2019;Green Book;Peter Farrelly;Biography, Comedy, Drama;130.0;TV-PG;8,2;686512.0;69.0;77.0;5;1;0.0;1.0;1.0;0;0;0;1;0;1;0.0;0;0;0
2019;The Favourite;Yorgos Lanthimos;Biography, Comedy, Drama;119.0;R;7,5;258830.0;91.0;93.0;1;0;0.0;0.0;0.0;0;0;0;0;1;0;0.0;0;0;0
2019;Black Panther;Ryan Coogler;Action, Adventure, Sci-Fi;134.0;PG-13;7,3;909806.0;88.0;96.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2019;BlacKkKlansman;Spike Lee;Biography, Comedy, Crime;135.0;R;7,5;314613.0;83.0;96.0;2;0;0.0;0.0;0.0;0;0;0;1;1;0;0.0;0;0;0
2019;Bohemian Rhapsody;Bryan Singer;Biography, Drama, Music;134.0;PG-13;7,9;646634.0;49.0;61.0;2;0;0.0;1.0;0.0;0;0;0;0;0;0;1.0;0;0;0
2019;Roma;Alfonso Cuarón;Drama;135.0;R;7,6;178576.0;96.0;96.0;6;0;1.0;0.0;0.0;1;1;1;0;0;0;0.0;0;1;1
2019;A Star Is Born;Bradley Cooper;Drama, Music, Romance;136.0;R;7,6;449190.0;88.0;81.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2019;Vice;Adam McKay;Biography, Comedy, Drama;132.0;R;7,2;175159.0;61.0;67.0;1;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;1;0;0
2018;Lady Bird;Greta Gerwig;Comedy, Drama;94.0;R;7,4;364066.0;93.0;99.0;1;0;0.0;1.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2018;The Shape of Water;Guillermo del Toro;Drama, Fantasy, Romance;123.0;R;7,3;476263.0;87.0;92.0;5;1;0.0;0.0;1.0;1;1;1;0;0;0;0.0;0;0;0
2018;Darkest Hour;Joe Wright;Biography, Drama, History;125.0;PG-13;7,4;243460.0;75.0;85.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2018;Three Billboards Outside Ebbing, Missouri;Martin McDonagh;Comedy, Crime, Drama;115.0;R;8,1;607907.0;88.0;90.0;4;0;1.0;1.0;0.0;0;0;0;0;1;1;0.0;0;0;0
2018;Phantom Thread;Paul Thomas Anderson;Drama, Romance;130.0;R;7,4;162260.0;90.0;91.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2018;Call Me by Your Name;Luca Guadagnino;Drama, Romance;132.0;R;7,8;359211.0;94.0;94.0;2;0;0.0;0.0;0.0;0;0;0;1;1;0;0.0;0;0;0
2018;Dunkirk;Christopher Nolan;Action, Drama, History;106.0;PG-13;7,8;807763.0;94.0;92.0;1;0;0.0;0.0;0.0;0;0;0;0;0;0;1.0;0;0;0
2018;Get Out;Jordan Peele;Horror, Mystery, Thriller;104.0;R;7,8;817753.0;85.0;84.0;1;0;0.0;0.0;0.0;0;0;0;1;0;0;0.0;0;0;0
